,poet,feature,importance
0,4,فرید,0.038703491080211594
1,4,پیشان,0.010819898317837091
2,4,ذره‌ای,0.006499841303627918
3,4,زآرزوی,0.0039326061208764885
4,4,عطارم,0.003913802833329703
5,4,ذره,0.0035782976495762784
6,4,نعره‌زن,0.002912967416569269
7,4,عطارت,0.002818734766913688
8,4,غلام,0.0028130390947785373
9,4,یافتم,0.002604739960320387
10,4,می‌نتوان,0.002559124079590522
11,4,قرائی,0.002433428872274728
12,4,توام,0.0019886381802933758
13,4,است,0.001925881325787434
14,4,چون,0.001836768736978304
15,4,زانکه,0.0018257552541800749
16,4,نعره‌زنان,0.0018249424394073328
17,4,یقین,0.0017577887522841466
18,4,عطاروار,0.001727581478478346
19,4,کون,0.0017068153603909772
20,4,محکم,0.0017021526595933797
21,4,از,0.0017016094808916097
22,4,جان,0.0016234617361944063
23,4,در,0.0016104259420111255
24,4,دایمش,0.0016088597065505215
25,4,دیده‌ور,0.0015779630852019533
26,4,می‌نماید,0.0015130059145814572
27,4,درشو,0.0014704049290312482
28,4,بی,0.001437006712736106
29,4,تو,0.001431414819446154
30,4,گردد,0.0014197168427960418
31,4,سیه‌پوش,0.001397516687751816
32,4,بود,0.0013954153786527946
33,4,و,0.0013802919310824007
34,4,برد,0.0013436638990696722
35,4,سیاه‌روی,0.001325583599209681
36,4,دردی,0.0013185823919524867
37,4,عشق,0.001305734194463879
38,4,راه,0.001300852882743111
39,4,ناپدید,0.0012962998534290055
40,4,ز,0.0012899340760172894
41,4,روی,0.0012796670901788114
42,4,به,0.0012731983539342696
43,4,گوشه‌نشین,0.0012591919495201775
44,4,یک,0.0012313004106937688
45,4,خطش,0.001192890088290965
46,4,بودها,0.0011619314214909517
47,4,فنا,0.00113732248861084
48,4,من,0.0011292807684256765
49,4,بس,0.0011260244889566278
50,4,مویی,0.0011246109755025154
51,4,هزارن,0.0011188411118447069
52,4,جایگه,0.0011109445868092037
53,4,زلف,0.0011047996048741
54,4,نیکویی‌هائی,0.0011037312376371722
55,4,شد,0.0011031674269776476
56,4,بر,0.0011022160304990055
57,4,کاملان,0.0010979603424334918
58,4,تا,0.0010772473848508829
59,4,آن,0.0010764043365499448
60,4,درآمد,0.0010746137169389718
61,4,گشت,0.0010740393096821813
62,4,راه‌بین,0.0010689006431584584
63,4,سر,0.001067171219156679
64,4,که,0.0010626917216696732
65,4,جاوید,0.0010546355553820704
66,4,بیرون,0.0010525712969247855
67,4,برگشادم,0.0010295614283290272
68,4,پردهٔ,0.0010230577819884152
69,4,غمخوارهٔ,0.0010113893765071838
70,4,زره‌سان,0.0010075551235190663
71,4,سیرم,0.0009969688056307286
72,4,نیافت,0.0009873596754654402
73,4,کس,0.0009796128202965075
74,4,صبای,0.0009712282052698079
75,4,بکل,0.0009700704543426934
76,4,سیرابت,0.0009689137283305714
77,4,بترت,0.0009668388002034068
78,4,را,0.0009623909347970404
79,4,دریا,0.0009605636222819672
80,4,ناپروای,0.0009569041359463083
81,4,واقعه,0.000952227199440177
82,4,نهادم,0.0009467799859460068
83,4,می‌ندانم,0.0009441537732618982
84,4,ره,0.000939813766424656
85,4,خون,0.0009396909541455318
86,4,نشان,0.0009362595830353618
87,4,هیچی,0.0009335802977619475
88,4,جملهٔ,0.0009243057221356223
89,4,غالیه,0.0009239552737104015
90,4,خورشید,0.000920595471473952
91,4,بحر,0.0009133271375869231
92,4,دو,0.0009091104156314403
93,4,نگونسارم,0.0009078041656354088
94,4,ندانند,0.0008989244259433682
95,4,بباش,0.0008964604901401653
96,4,ارزن,0.0008957103310028113
97,4,عالم,0.0008950956791944607
98,4,می‌خوران,0.0008937607273873882
99,4,عاشقانت,0.0008923405623518229
100,4,رطب,0.000889426306254628
101,4,خورد,0.0008865236580735199
102,4,کرد,0.0008862737769288933
103,4,خوزستان,0.0008849399034199508
104,4,نرگسینش,0.0008828391642455317
105,4,دریغم,0.0008752932231172521
106,4,دیگر,0.000875127889602528
107,4,گر,0.0008695123470630161
108,4,چو,0.0008662909803421684
