,poet,feature,importance
0,3,چونک,0.027825277198052722
1,3,تبریزی,0.02169095736140043
2,3,خمش,0.00364688702268984
3,3,هله,0.0031103675148326996
4,3,الضحی,0.0030058953140718226
5,3,آسمان‌ها,0.0028467907971278187
6,3,مفخر,0.0026514983335768406
7,3,نان,0.002647302551678288
8,3,چشم‌ها,0.0024313941128157775
9,3,را,0.0023843363981864586
10,3,زفت,0.0022449369153198446
11,3,باوفا,0.0021833796653588323
12,3,سرنا,0.0020301031706430454
13,3,بگیر,0.002025786613110996
14,3,بی‌شما,0.0018761484998093398
15,3,خیک,0.0018406215259350058
16,3,کیا,0.0018017986314956237
17,3,استیزه,0.0017651116749410817
18,3,پرباد,0.0017111535303531674
19,3,العشق,0.0016803807959274836
20,3,جعفری,0.0016388891861143656
21,3,جاء,0.0016183303408097553
22,3,دررو,0.0015994832206133024
23,3,الموتی,0.001598564611548095
24,3,فلانه,0.0015918425413684047
25,3,زبان‌ها,0.0015891145537144241
26,3,الدین,0.0015704807868485268
27,3,سغراق,0.0015615292837939327
28,3,جزو,0.0015563655828059583
29,3,لقا,0.001551051528703159
30,3,استن,0.0015027939270103167
31,3,ابتلا,0.0014872044644182714
32,3,لعلین,0.0014608107267172687
33,3,بکشید,0.0014590008889594278
34,3,بیا,0.0014245107129998006
35,3,الولا,0.0014050860187266112
36,3,ولا,0.0014049377612332502
37,3,مشین,0.0013803589354615114
38,3,چرا,0.0013792379312429325
39,3,فخرست,0.0013656168396529928
40,3,الاعلی,0.0013615878221751026
41,3,رهیده,0.0013594870821063093
42,3,مخدوم,0.001358440667744827
43,3,همی‌پرد,0.001352921070639257
44,3,سرگین,0.0013358633915659909
45,3,یفعل,0.0013314867942413081
46,3,مکار,0.001320994935212906
47,3,آوه,0.001317249460851546
48,3,باده‌ست,0.0013168194988799507
49,3,اقربا,0.001297536536460589
50,3,تبریزیان,0.0012879169642952635
51,3,رواقی,0.0012843558370942698
52,3,جان‌هایی,0.0012612860881278066
53,3,حال‌ها,0.00123238405004302
54,3,پاره,0.0012224860527294686
55,3,مبا,0.001221366148698523
56,3,بیاب,0.0012128877648231453
57,3,همی‌داند,0.0011914268252399773
58,3,صوفیان,0.0011867485161772106
59,3,جان‌ست,0.0011537719374671198
60,3,عجل,0.0011469713137746188
61,3,خنک,0.001113769847923118
62,3,مستتر,0.0011109275334876161
63,3,البدر,0.001105827664658362
64,3,نانبا,0.0011021576127799386
65,3,اشکوفه,0.0010972723704363943
66,3,سجده,0.0010796423671522112
67,3,علینا,0.0010675527037400292
68,3,بی‌لقای,0.0010558139880106681
69,3,نمی‌بینی,0.001050724287353851
70,3,سکر,0.0010504094222041312
71,3,راغ,0.0010501767615247
72,3,مها,0.0010456862511063834
73,3,قاعده‌ست,0.0010345421691913387
74,3,گزیده‌ای,0.0010319961871643427
75,3,ز,0.0010283942710691864
76,3,معلا,0.001026729748479041
77,3,بدند,0.0010263909147848822
78,3,دوغ,0.0010226317353674262
79,3,کدامست,0.0010202173281007793
80,3,کان‌ها,0.0010160588410045262
81,3,شه,0.0010039370132229886
82,3,نبیذ,0.000996467342720458
83,3,باغ‌ها,0.0009875314892097528
84,3,اندرآ,0.0009742258749350852
85,3,سرده,0.0009541655200625653
86,3,ملرز,0.0009431223372225367
87,3,نخارم,0.0009425248857644142
88,3,گرگین,0.0009420646502020198
89,3,باقیش,0.0009348677850673787
90,3,فتحنا,0.0009228416519892242
91,3,توند,0.0009226753599032869
92,3,جانا,0.0009146603013008636
93,3,برریز,0.0009109126289123244
94,3,دیده‌ها,0.0009083519386422043
95,3,کیست,0.0009050316125872433
96,3,اندرآید,0.0009024383291633197
97,3,مبادا,0.0009018452244848835
98,3,القلوب,0.0008978987002308288
99,3,پابند,0.0008940228157679153
100,3,لوت,0.0008933398798291714
101,3,روح‌ها,0.0008894317993315672
102,3,الصلا,0.0008654803943903732
103,3,شیری,0.0008558938698764368
104,3,نپرم,0.0008540947704473668
105,3,پیغامبر,0.0008506005038582613
106,3,تویی,0.0008489622427703388
107,3,خدایا,0.00084204152227975
108,3,ما,0.0008334253313827311
109,3,شاباش,0.0008331591210836703
110,3,وحی,0.0008316564218219944
111,3,گل‌های,0.0008305663959312408
112,3,زانک,0.0008296063928985723
113,3,استاره,0.0008279435104071469
114,3,ماستی,0.000817109781722096
115,3,می‌دانک,0.0008075691452056719
116,3,بفزا,0.0008069269236698443
117,3,اغانی,0.000801937889996066
118,3,آحادست,0.0007968225074279807
119,3,سقا,0.0007935318961158557
120,3,دریاصفت,0.0007934981683131634
121,3,مخسب,0.0007906521875217285
122,3,است,0.0007873890392754135
123,3,عجوبه,0.00078599474846053
124,3,فاتح,0.0007843510934908129
125,3,مرا,0.0007832129205252842
126,3,پابسته,0.000779670369351404
127,3,صفت‌های,0.0007762240810583788
128,3,بجسته,0.0007756832935538673
129,3,لقمه,0.0007630415534622298
130,3,قمرا,0.0007612556657318422
131,3,کلا,0.0007601751625929201
132,3,همی‌رسد,0.0007545721028316305
133,3,درانداز,0.0007539747721854174
134,3,مشکات,0.0007415364301981585
135,3,روترشی,0.0007386442217107694
136,3,پرنور,0.0007382842676511474
137,3,درناید,0.0007341705548152911
138,3,رهید,0.000734046478738815
139,3,شدست,0.0007326703005515256
140,3,چو,0.0007325222551841985
141,3,الحب,0.0007325178765092709
142,3,می‌گریزی,0.0007288624992815801
143,3,بوالعلا,0.0007283164021332261
144,3,جا,0.0007256624514691555
145,3,صلاست,0.0007251219846684234
146,3,ذره‌ها,0.0007194186051634417
147,3,فروخوردم,0.0007110581499207503
148,3,گوید,0.000710173368317121
149,3,بررو,0.0007043241894525358
150,3,جالینوس,0.000703569795496339
151,3,آنک,0.0007010890006358149
152,3,نزلنا,0.0007000018143218025
153,3,که,0.000699179264319916
