feature,importance
آزماید,1.00241076827e-06
آزمایم,1.06092393546e-07
آزمایی,1.16669854034e-06
آزمود,1.69278941314e-07
آزمودم,2.74507327948e-06
آزموده‌ایم,6.05050324686e-05
آزمودی,5.80032195521e-07
آزمودیم,8.508085504e-07
آزمون,5.92469732112e-07
آزمونم,1.91161466606e-08
آزی,3.01122302659e-07
آسا,8.09627230768e-07
آسان,0.000264737721621
آسانتر,3.24599715843e-07
آسانست,6.15737667547e-07
آسانی,1.78826144582e-05
آسانیست,1.39990842432e-09
آسانیش,1.16609871891e-07
آسای,7.32445813285e-11
آسایت,1.23282411589e-08
آساید,2.14613043089e-08
آسایش,0.000167723996655
آسایشست,7.86477086574e-07
آسایی,9.06007111721e-07
آستان,0.000290268635307
آستانت,1.11811848634e-06
آستانست,5.77968012209e-07
آستانش,1.19810779934e-07
آستانم,9.68204144294e-07
آستانه,0.000332094889033
آستین,0.000150532239307
آستینان,9.55473243393e-05
آستینت,1.09747205556e-06
آستینش,5.96801492024e-07
آستینم,3.59834007854e-07
آستینی,4.76922354719e-05
آستینیم,8.41354731941e-07
آسمان,0.000219337607305
آسمانا,7.12901938305e-07
آسمانت,1.3271183024e-07
آسمانست,1.84686169359e-06
آسمانستی,3.68938119967e-09
آسمانش,1.54961366816e-05
آسمانم,4.95868684674e-07
آسمانند,6.55810244091e-09
آسمانی,2.04693189522e-06
آسمانیم,7.80131874351e-08
آسمان‌ها,8.77915724389e-06
آسوده,6.74363027403e-05
آسوده‌ایم,7.85992824926e-06
آسوده‌ست,1.35542499916e-07
آسودگی,6.44640000152e-07
آسیا,9.07760213625e-06
آسیابان,1.93772851025e-07
آسیابی,2.08139981501e-08
آسیاها,7.27778565191e-08
آسیای,6.41463226097e-07
آسیایی,8.33762111308e-08
آسیب,3.20168107176e-05
آش,1.87168638892e-06
آشام,2.54003559018e-06
آشامان,1.27516145674e-07
آشامد,4.22363326245e-09
آشامش,2.7869348558e-07
آشامم,2.65449207682e-05
آشامی,1.29134686599e-07
آشتی,7.16479953914e-05
آشفتم,3.38553970709e-07
آشفتن,1.91574632955e-06
آشفته,9.4606217589e-05
آشفته‌ام,8.98815712705e-07
آشفته‌تر,1.09486016171e-06
آشفتگان,7.11167533074e-09
آشفتگی,7.08842530248e-05
آشنا,0.000390816730377
آشنات,2.73942773325e-08
آشناست,4.24670492802e-05
آشنای,2.41430491053e-05
آشنایان,9.67255757424e-05
آشنایی,0.000116116834752
آشناییم,4.65863909007e-08
آشنایی‌هاست,4.80992646151e-05
آشوب,0.000104936746259
آشوبی,2.10638167663e-05
آشکار,9.02795807902e-06
آشکارا,2.83219101702e-05
آشکارست,1.29574224605e-08
آشکارش,3.02065761968e-07
آشکارم,2.89203633413e-06
آشکاره,9.84360758328e-05
آشکاری,3.54724224559e-07
آشکاریست,8.35180843591e-09
آشکاریم,3.87268105111e-07
آشیان,8.19278587321e-05
آشیانت,4.52898567902e-07
آشیانست,1.11717592056e-06
آشیانم,1.85444219816e-07
آشیانه,9.37315721663e-05
آصف,0.00116797154926
آصفش,3.8612781399e-07
آصفم,9.76579208486e-07
آصفی,0.000176344734352
آغاز,6.68150412365e-05
آغازد,2.79419448669e-05
آغازش,2.73137092271e-07
آغازم,5.21263495522e-05
آغازید,5.8814491939e-07
آغشته,8.00770343142e-05
آغشته‌ام,1.41459386271e-06
آغشته‌ست,8.1246365703e-07
آغوش,4.72909773918e-05
آغوشت,1.79174253145e-07
آغوشش,6.8258579729e-05
آغوشم,3.63591173566e-05
آغوشی,5.09878401351e-07
آفات,8.31517769713e-06
آفاتست,1.21062136398e-07
آفاتش,5.31535940682e-05
آفاتم,1.69624005386e-06
آفاتها,0.0
آفاق,0.000122599582867
آفاقم,6.2452900444e-07
آفت,6.32843866786e-05
آفتاب,0.000318414569923
آفتابا,7.25907165775e-06
آفتابت,3.93875914059e-06
آفتابست,2.0298358479e-06
آفتابستی,9.41092453802e-09
آفتابش,2.76027677193e-06
آفتابم,1.92911972299e-06
آفتابی,1.39201093356e-05
آفتابیست,6.28917381028e-05
آفتی,2.76917139165e-07
آفت‌هاست,3.76257429988e-05
آفرید,3.12311781928e-06
آفریدستم,9.50360718737e-09
آفریدستند,5.37741342104e-08
آفریدم,6.57001615273e-07
آفریدن,8.27277006446e-07
آفریده,5.91572339792e-05
آفریده‌اند,6.90852687729e-07
آفریده‌ست,2.49243927173e-07
آفریده‌ستت,4.74177801219e-07
آفریدگار,8.63685045973e-08
آفریدی,7.58959910061e-08
آفرین,0.000140781818007
آفریند,1.07947822271e-06
آفرینش,1.07609014169e-06
آفرینند,7.53434530528e-08
آفرین‌ها,4.32557659904e-07
آفسانست,1.01050382951e-07
آفل,2.89811156009e-07
آفندی,0.0
آل,5.72690760828e-07
آلاجق,5.20128106101e-09
آلاف,3.03212589513e-07
آلاله,7.24520779498e-07
آلاله‌ایست,3.8206310757e-07
آلایش,7.45708022952e-07
آلایی,1.25118442461e-06
آلاییست,1.19632402223e-07
آلت,1.13631305588e-07
آلتی,5.93545929397e-08
آلفا,1.91931835698e-13
آلو,2.57754684398e-08
آلود,4.47715925483e-05
آلودشان,1.60353310746e-07
آلوده,0.000551356156363
آلوده‌ای,4.62528954404e-06
آلوده‌ایم,4.8905996262e-05
آلوده‌ست,6.61693436515e-06
آلودگی,6.34975970986e-05
آلوی,1.02969443113e-07
آماج,2.75597483254e-07
آماده,6.81365205746e-05
آماس,2.79415171053e-07
آمالها,0.0
آمال‌ها,5.1258144815e-10
آمد,0.00111508217645
آمدت,6.26643203919e-07
آمدست,1.81516451368e-05
آمدستیم,2.65677302694e-08
آمدش,7.09734227109e-08
آمدشد,2.48766013926e-07
آمدم,0.000100961889635
آمدمت,1.24946938856e-06
آمدن,2.44217051944e-05
آمدنت,1.38900764882e-07
آمدند,2.30977067847e-05
آمدنست,2.36165602282e-07
آمدنش,1.10699167213e-06
آمدنیست,8.43786438122e-07
آمده,6.31215112787e-05
آمده‌ام,8.19379711929e-06
آمده‌اند,1.76192193637e-05
آمده‌ای,0.000214867841965
آمده‌ایم,0.000394379669119
آمده‌ست,1.23403692214e-06
آمدی,0.000146976620013
آمدیت,5.61307455561e-07
آمدیم,7.55646448943e-06
آمدی‌ای,1.53190876861e-06
آمر,6.53604633624e-07
آمرزش,9.28421373085e-05
آمرزگار,8.23986380074e-05
آمرزیدمت,7.96646629956e-08
آمل,1.00726628202e-06
آمن,1.25464205657e-06
آمنت,3.93762163636e-07
آمنسا,1.6873335545e-07
آموخت,7.07417755457e-05
آموختت,1.23241602646e-07
آموختم,4.88902932622e-06
آموختن,8.63287413882e-08
آموختند,9.20517795689e-09
آموخته,2.3576560629e-05
آموخته‌ست,9.70021821343e-07
آموختی,1.56785865024e-05
آموختیم,8.266091545e-10
آموز,6.3659740206e-05
آموزد,2.26455167388e-06
آموزدم,4.03504003054e-07
آموزی,8.63274327633e-05
آمیخت,4.03455990312e-07
آمیختم,1.79546683328e-06
آمیختن,8.03676802717e-07
آمیختند,5.10168424813e-06
آمیخته,2.61749743785e-05
آمیخته‌ام,4.05477891166e-07
آمیخته‌ای,3.12110911343e-05
آمیخته‌ست,8.94689734013e-09
آمیختی,4.1336894494e-08
آمیز,3.08135201531e-05
آمیزد,4.50180526936e-08
آمیزش,4.97909007731e-06
آمیزشی,1.87301579123e-07
آمیزش‌ست,8.31521848219e-07
آمیزها,4.13817717465e-06
آمیزگار,3.69279072827e-06
آمیزی,6.99028968297e-05
آمیزیم,2.78844377681e-07
آمین,2.0780355e-05
آمینست,7.96426375617e-07
آمینش,3.27566477163e-07
آمینی,1.08145555124e-05
آن,0.00416946720981
آنان,9.27901065348e-05
آنت,2.51494615141e-06
آنتر,8.56922170783e-07
آنجا,4.95130889469e-05
آنست,4.97968821717e-05
آنستم,2.89269767205e-07
آنستی,8.33311059051e-07
آنسنا,0.0
آنش,1.32530777375e-05
آنم,0.000128842942493
آنموس,2.68279974307e-07
آنند,4.28340928787e-07
آنچ,6.89527294909e-05
آنچت,3.46002686536e-05
آنک,0.000246963611161
آنگه,9.44494398602e-06
آنگهان,4.50010632339e-07
آنگهانی,3.32245843544e-08
آنگهی,1.62205034978e-05
آنی,9.52489033662e-05
آنید,2.44972102633e-06
آنیم,2.80299005284e-06
آنیه,4.1137907781e-10
آن‌ست,1.79594234539e-08
آن‌ها,2.5959238014e-05
آن‌های,0.0
آه,0.000677748040055
آهخته,1.95132009306e-05
آهرمن,3.48874475367e-07
آهسته,3.77360772081e-05
آهسته‌تر,9.07263352535e-07
آهسته‌ست,9.30969317966e-08
آهستگی,3.99674332984e-06
آهش,1.15735376428e-06
آهشان,7.48815631863e-07
آهم,3.4359793046e-05
آهن,7.67396525122e-05
آهنت,1.66656186065e-06
آهنست,5.9326210601e-07
آهنش,2.32812830182e-09
آهنم,1.81984763218e-06
آهنگ,0.000144504072781
آهنگر,7.75448753615e-08
آهنگران,6.606080281e-07
آهنگرم,2.1877179316e-06
آهنگری,4.67129043594e-07
آهنگریم,1.04946582196e-08
آهنگ‌ها,3.53945318663e-07
آهنی,1.39314539417e-06
آهنیست,3.86770982939e-07
آهنیم,9.82671805379e-07
آهنیمش,1.79684890372e-07
آهنین,4.2111292337e-06
آهو,2.47789562445e-05
آهوان,7.86191956436e-05
آهوانش,3.25938213974e-08
آهوانه,1.05442758764e-06
آهوتر,8.83725894706e-08
آهوروشی,1.18889632106e-05
آهوست,4.71418202285e-06
آهوفکن,1.19676166895e-07
آهوچشم,1.83186090336e-06
آهوگردن,4.5910714456e-06
آهوی,7.55085558367e-05
آهویی,6.32172065572e-05
آهی,0.000135636406965
آهیش,2.93776442302e-05
آه‌ها,5.07624433911e-07
آواره,1.2087401064e-05
آواره‌ایم,1.64671885641e-09
آوارگی,2.20891111958e-07
آواز,0.000114572724597
آوازت,1.67889967213e-06
آوازش,1.77238224283e-06
آوازم,7.13530485545e-06
آوازند,2.72417151349e-08
آوازه,4.80632775822e-06
آوازهای,3.27121893063e-08
آوازی,3.01075927583e-06
آوای,2.92764889555e-07
آواییم,2.52953074166e-07
آوخ,2.36241954723e-07
آور,0.000132453592442
آورد,0.000499392352705
آوردش,3.41778343108e-05
آوردم,2.76653429273e-05
آوردمت,9.24510597701e-08
آوردمش,2.39201496607e-06
آوردن,6.11264897885e-07
آوردند,1.4644087268e-06
آورده,8.79766744968e-06
آورده‌ام,2.61698263292e-06
آورده‌اند,3.35006056969e-06
آورده‌ای,1.17459080847e-07
آورده‌ایم,5.2011325409e-07
آورده‌ست,2.20327598138e-07
آوردی,2.55193460144e-06
آورش,2.72703519509e-09
آورم,1.28186921637e-05
آورمش,6.75203244513e-05
آورند,1.2514643717e-06
آوری,7.65497694117e-05
آورید,6.91517946739e-05
آوریم,9.22420664952e-07
آونگ,1.24811456403e-06
آونگم,3.01739312158e-06
آونگ‌ها,8.44943463085e-08
آوه,2.83258820304e-06
آویخت,2.52453774502e-05
آویختم,1.29467672549e-06
آویختن,2.1392944136e-06
آویخته,2.03828339793e-06
آویخته‌ام,1.27857743406e-09
آویخته‌ست,5.56165182463e-07
آویختگان,2.84261120605e-07
آویز,4.64957459888e-05
آویزان,3.66885771986e-06
آویزد,3.84154292774e-09
آویزش,4.28449048723e-08
آویزم,4.01830749149e-06
آویزند,3.82599635859e-07
آویزه‌ات,2.92593333511e-08
آچار,3.14176948575e-08
آکل,3.02591902459e-08
آکلست,2.13023847781e-08
آکند,1.68052118648e-06
آکندند,2.40407630898e-06
آکنده,2.45406833026e-07
آگاه,8.67813918227e-05
آگاهم,3.87367651812e-05
آگاهی,2.17999207291e-05
آگندی,9.23023564791e-07
آگه,0.000147752317561
آگهست,5.8675040606e-08
آگهستی,2.96916780627e-07
آگهی,0.000197332319768
آی,0.000168888962219
آیا,0.00049855291597
آیات,1.05513750311e-06
آیاتست,2.78109761759e-07
آیاته,1.39987907434e-09
آیت,5.012442303e-05
آیتی,6.14476912977e-05
آیتیست,5.8603281369e-07
آیتی‌ست,7.83182257331e-07
آیت‌ها,7.41819985741e-09
آید,0.000504565457387
آیدت,5.67962882726e-06
آیدش,8.1628115821e-07
آیدم,1.45958025528e-05
آیدهمی,2.37793636305e-06
آیم,2.3586324254e-05
آیند,1.59741635938e-05
آینده,2.79803173113e-06
آینه,0.00038096749195
آینه‌ام,4.09176162322e-05
آینه‌ای,1.28974584926e-06
آینه‌ست,1.24695152404e-06
آینه‌ها,6.16399887512e-05
آیه,1.90486502809e-08
آیی,3.92871829854e-05
آیید,3.03837466388e-06
آییم,7.90826475864e-06
آیین,0.000375745051231
آیینست,1.09255720622e-06
آیینش,3.31341346931e-08
آیینه,0.000200637995602
آیینه‌ات,1.3286112151e-06
آیینه‌اش,3.03167265364e-08
آیینه‌ای,2.1603759933e-05
آیینه‌ایست,2.89421422613e-06
آیینه‌ست,5.72716372997e-07
آیینه‌هااند,9.44410973125e-08
آیینک,4.56359905511e-07
ا,1.53373639424e-07
اؤانس,2.434847689e-08
ابا,1.34968099646e-06
ابابیل,1.71918318759e-06
ابابیلی,1.19437349265e-07
اباریقش,1.12754427741e-07
ابالی,2.4092437948e-07
ابایزید,1.85106897727e-06
ابایی,1.41997712436e-07
ابتدا,1.27709381173e-06
ابتر,3.19818548845e-06
ابتری,1.39424213214e-06
ابتسام,2.52058586462e-06
ابتشار,3.98906337615e-10
ابتغی,6.05271002135e-07
ابتلا,1.5259627372e-06
ابتلاع,1.14144237098e-06
ابتلای,7.85867223116e-08
ابجد,9.04517742057e-07
ابجدیم,5.75082544824e-07
ابد,0.000139147346256
ابدا,9.42061113182e-06
ابداع,2.66792119924e-05
ابدال,5.08369964346e-07
ابدالدهر,7.78708530378e-09
ابدان,2.40742538687e-06
ابدست,1.07000144126e-06
ابدش,6.19801888692e-07
ابدشان,5.68429032495e-07
ابدلنی,0.0
ابدم,1.34885732695e-06
ابدهای,1.26719677981e-07
ابدی,5.85257153473e-06
ابدیست,9.8983533276e-07
ابذل,5.41873282699e-07
ابر,0.000147292182449
ابرار,1.07795988877e-06
ابرارک,2.35089090644e-13
ابراری,8.38183212882e-07
ابرام,9.40854544722e-05
ابراهیم,1.25984152143e-06
ابرت,8.44699208094e-07
ابرسوز,4.43276748901e-11
ابرش,2.356526414e-07
ابرصفت,4.48612418018e-08
ابرم,1.06123032665e-06
ابرها,7.33180939652e-07
ابرهای,2.37162400884e-07
ابرو,0.000350915195918
ابروار,4.51233857622e-07
ابروان,8.24795892451e-05
ابروانت,4.41132783499e-08
ابروانش,4.93309970068e-07
ابروت,4.61814986988e-08
ابروست,4.98338911474e-07
ابروش,2.31648246961e-05
ابروم,5.8250400944e-08
ابروهای,4.27706930527e-08
ابروکمان,4.25956967917e-05
ابروی,0.00113620770784
ابرویت,0.000180923754755
ابرویست,6.23013028356e-05
ابرویش,0.000104076070915
ابرویی,7.1449682924e-07
ابروییست,4.54944660538e-05
ابروی‌ها,6.22602965044e-08
ابری,1.7932897388e-06
ابریست,1.9021550994e-07
ابریشم,4.06880017608e-05
ابریشمک,2.6292153633e-08
ابریق,3.22485032242e-07
ابریقی,5.25532256568e-07
ابشروا,4.30671432907e-07
ابشری,4.89671766567e-07
ابصار,1.8062566839e-07
ابصارنا,4.71616560944e-10
ابصر,0.0
ابصرت,2.25897319627e-09
ابصروا,3.45638007962e-08
ابغی,0.0
ابقین,4.4707846035e-11
ابل,3.72007078167e-07
ابلاغ,3.09209729147e-07
ابلق,4.25240066462e-05
ابله,6.01527601929e-06
ابلهان,1.16239369292e-06
ابلهانه,5.67266353112e-09
ابلهی,1.32200463812e-06
ابلهیست,3.45190571028e-07
ابلوج,1.97438551084e-09
ابلیس,3.84607367867e-06
ابن,7.20411912115e-07
ابناء,1.12177802479e-07
ابنای,5.59199922042e-05
ابواب,1.13629020482e-08
ابوابکم,4.74373042914e-07
ابوالفوارس,3.61640267523e-05
ابوبکر,2.37794514572e-07
ابونا,2.38615804253e-07
ابوهریره,6.59649244325e-09
ابکار,8.29694777423e-07
ابکی,8.38948998292e-08
ابیت,1.25173922851e-07
ابیض,2.68484585295e-08
ات,3.34679548023e-05
اتابک,1.83843455213e-05
اتانا,1.96006663225e-12
اتانی,1.99500883245e-08
اتانیه,9.67890875338e-12
اتاه,3.13946347965e-09
اتاک,3.79771306506e-07
اتحاد,4.20370637105e-07
اتحادی,2.55531109845e-06
اتحادیست,3.67564312738e-05
اتحفنا,2.32854062163e-09
اتخذت,0.0
اترکوا,2.77024304208e-07
اتساق,2.85373124305e-05
اتصال,3.85472508673e-08
اتصالی,2.35985101313e-07
اتظلم,1.07752664726e-07
اتعتب,1.43147166595e-08
اتعذب,5.01004671353e-13
اتفاق,8.0087546672e-05
اتفاقم,1.41922444239e-06
اتفاقی,2.39959031281e-05
اتلقب,3.16859973692e-13
اتمام,7.5870150654e-07
اتمم,2.42259847329e-09
اتهذب,6.75521792472e-08
اتوب,2.287368894e-08
اتی,1.0360739858e-06
اتینا,3.61464090671e-11
اتیناکم,4.206703531e-13
اتیک,8.69922222771e-08
اثار,3.26625934474e-10
اثبات,4.67272849259e-06
اثباتست,6.2218435943e-07
اثر,0.000157107002685
اثربوس,9.98621545086e-08
اثرش,1.78054749202e-06
اثرم,1.59315251244e-06
اثرها,1.51930187624e-06
اثرهای,3.36208918484e-07
اثری,3.69166382862e-05
اثقالا,1.94492905277e-07
اثقالها,6.57954695755e-09
اثقل,0.0
اثقلت,7.4477525155e-09
اثنان,3.11363884251e-11
اثنین,7.58259810869e-07
اثوابکم,0.0
اثیر,2.81325062247e-06
اثیرم,4.15826928621e-07
اج,4.01756530014e-10
اجابت,1.75899834709e-06
اجار,7.79502014852e-08
اجازت,0.000110752899624
اجتبا,2.2726835634e-07
اجتبینا,0.0
اجتذاب,4.10276132652e-07
اجتناب,4.68158963666e-05
اجتهاد,2.11361844075e-07
اجر,0.000144024203862
اجرا,4.56909125976e-08
اجرها,3.15155812563e-05
اجری,3.25587770206e-05
اجزا,1.31470562201e-06
اجزات,2.22446770763e-08
اجزاش,2.14306126862e-07
اجزای,5.1692027328e-06
اجسام,4.92412939237e-06
اجسامم,1.78291358541e-07
اجسامنا,3.06793321377e-08
اجل,7.04907370571e-05
اجلا,3.66632321187e-07
اجلال,5.38587840024e-07
اجلالت,1.44606822487e-07
اجلال‌ها,3.75729267127e-10
اجلت,2.1550326368e-07
اجلش,5.63837747558e-09
اجلم,2.96542166714e-07
اجلک,9.12565030315e-11
اجلی,2.87677915618e-07
اجل‌ست,4.53392239724e-10
اجمال‌ها,2.28559466782e-06
اجمعون,0.0
اجمل,9.21495417603e-08
اجنحه,1.29483490282e-12
اجیبوا,3.4489098823e-09
احادیا,3.20216997021e-05
احاذر,4.5611357876e-08
احاطت,6.64240832631e-08
احب,2.3049828803e-09
احبا,7.28858625884e-05
احباب,0.000153340407237
احبابش,1.54555140189e-06
احبابی,5.33362682662e-08
احبار,1.12133715668e-07
احبتی,5.60757123531e-12
احتراز,3.1738996434e-05
احترازم,1.31171383145e-08
احتراق,2.59028337965e-07
احتراقات,3.18843990136e-11
احترام,4.07072907055e-07
احترق,6.27324789466e-11
