,poet,feature,importance
0,5,عاشقی,0.003934805654273836
1,5,زنیم,0.0032830490534464327
2,5,خاکپایت,0.003087366338564932
3,5,جانان,0.0029405009450956103
4,5,سناییت,0.002785134143367792
5,5,ناپاکی,0.002394437062947429
6,5,زن,0.0023936459053950213
7,5,زلفین,0.0023177204748462883
8,5,و,0.0022500922873426475
9,5,جفانمایی,0.0022477558539747934
10,5,شبپوش,0.0020056289422490507
11,5,اندر,0.0019368492110404198
12,5,سناییم,0.0019302353021347274
13,5,پسرا,0.001917283621697143
14,5,نزدت,0.001851855364618642
15,5,لولو,0.0018421609782477547
16,5,ماهرویا,0.0018251370820175656
17,5,به,0.0018249963898498084
18,5,پیشه‌گیر,0.0017357372577214917
19,5,سوالست,0.0016629009403814204
20,5,تو,0.0016608160646252588
21,5,دوش,0.0016522202490066849
22,5,بفروز,0.0016505760103689815
23,5,هم؟,0.001640861376290263
24,5,دلدادهٔ,0.0016268337977729012
25,5,ازین,0.0015681702995762458
26,5,بزیم,0.0014885065662121498
27,5,هدایت,0.0014660668346643526
28,5,عنایی,0.0014401198252276216
29,5,بردا,0.001433020339887936
30,5,جان,0.0013850857372731382
31,5,در,0.0013764033386878594
32,5,کرخی,0.0013183428680263783
33,5,طوبا,0.0013171711932426628
34,5,شمر,0.0013151449309844552
35,5,دلبر,0.0013047285817423865
36,5,بایستادیم,0.0012994611185415267
37,5,«لن,0.001298556253885508
38,5,خوبی,0.0012898306632850049
39,5,خورشیدی,0.0012842590332756976
40,5,بر,0.0012758235484366068
41,5,بنامیزد,0.0012601061730187185
42,5,تراست,0.0012576172882270797
43,5,سغبهٔ,0.0012516564469868213
44,5,روزگاریم,0.0012455318825191667
45,5,ارزیزم,0.00124415878940948
46,5,صمصام,0.0012110868914055326
47,5,بیختی,0.0011714750768987928
48,5,نشوی,0.0011711614660861727
49,5,چون,0.0011529281013961336
50,5,بمانم,0.0011465797895734648
51,5,شبکی,0.0011326845520398638
52,5,سحرگاهان,0.0011252892242003753
53,5,لباسات,0.001125262291122511
54,5,دل,0.001123034321446884
55,5,دلگشای,0.001118144679777291
56,5,گزینی,0.0011171850762625012
57,5,همی,0.0011167527889674373
58,5,عشق,0.001115212844459468
59,5,مورد,0.0011105241558143123
60,5,زیبدت,0.0010833841901883709
61,5,از,0.0010774031822029758
62,5,مکن,0.0010661455583812756
63,5,ز,0.0010580992579428377
64,5,زهی,0.0010564390077429345
65,5,سیسنبر,0.0010495272917112044
66,5,غم,0.0010349370970139935
67,5,صفرایی,0.0010321407426579895
68,5,من,0.001031534095076176
69,5,کن,0.0010313907426385011
70,5,خود,0.001029507659479881
71,5,جوهریست,0.0010171120681176913
72,5,مجمرهٔ,0.001004351774554449
73,5,رو,0.0009998259764412748
74,5,چه,0.0009985156003830258
75,5,باید,0.0009963187891034488
76,5,این,0.0009958050061255356
77,5,نهادستی,0.0009885173156059049
78,5,ما,0.0009707099631216169
79,5,که,0.0009664914839577131
80,5,ناجنسی,0.0009600187469994462
81,5,کردار,0.000957614496777857
82,5,برنهم,0.0009553015950487807
83,5,چو,0.0009483107132703185
84,5,موزه,0.0009480215692581155
85,5,گشادستی,0.0009477801091382339
86,5,رامشگر,0.00094322274622881
87,5,نکال,0.0009372789099214336
88,5,گر,0.0009332986877856901
89,5,پایست,0.0009328201617541313
90,5,استوارم,0.0009325093270182908
91,5,یکبارگی,0.0009257575755860264
92,5,مگیر,0.0009255505664023958
93,5,اردانی,0.0009255363067250759
94,5,روی,0.0009235787543856658
95,5,کمزن,0.0009203909112340869
96,5,را,0.0009199513031115751
97,5,گرفتیم,0.0009139866862026738
98,5,خوارست,0.0009118776014107187
99,5,جایگاه,0.0009025815987025981
100,5,خرابات,0.0008890925290421359
101,5,خشنودیت,0.0008880763449502568
102,5,اندرین,0.0008829597501152549
103,5,هر,0.0008816533275900494
104,5,هموارست,0.0008807475821511974
105,5,بسنده‌ست,0.0008743015328997507
106,5,البصر»,0.000870200141426485
107,5,بفشانده‌ام,0.0008612718385698218
108,5,نمودنی,0.0008606138316144848
109,5,تا,0.0008581677973539796
110,5,آموخته‌ای,0.0008517710562868389
111,5,وثن,0.0008513056600582853
112,5,زیانند,0.0008441003130855954
113,5,فگنده,0.0008337907525848693
114,5,ایماهروی,0.0008329762360453641
115,5,طریق,0.0008275412888577842
116,5,ترا,0.0008257507276965653
117,5,مرایی,0.0008256078139652557
118,5,جهانسوز,0.000823294820827394
119,5,هماناک,0.0008215444326134936
120,5,آن,0.0008167852529902498
121,5,ربودنی,0.000812024882869913
122,5,یک,0.0008113697844266141
123,5,الفنج,0.0008092654814457172
124,5,قلاشی,0.0008078028682999097
125,5,آهنج,0.0008069317242360055
126,5,فش,0.0008063125809161387
127,5,رفت‌ست,0.0008038271666262539
128,5,بود,0.0008009179244851572
129,5,خوانمت,0.000795217036885423
130,5,کاهلی,0.0007941419241493615
131,5,سمرهاست,0.0007926335130328318
132,5,دیدگانم,0.0007918297800990054
133,5,بشاییم,0.0007897140650553339
134,5,گزافست,0.0007881434648213099
135,5,قارونم,0.0007872066688430243
136,5,مکافاتش,0.0007833226749698321
137,5,خیزران,0.0007825804866275047
138,5,پسر,0.0007819288651500574
139,5,بردی,0.0007763145768094436
140,5,پشتش,0.000773054969529617
141,5,مجیب,0.0007718659400876763
142,5,گه,0.0007709195151537277
143,5,شب,0.0007704185620910152
144,5,دلارامم,0.0007605655658419296
145,5,فنون»,0.0007598098535459223
146,5,ور,0.000759149948368646
147,5,بوسگکی,0.0007589382416675383
148,5,سر,0.0007550366495665858
149,5,جوال,0.0007548726396311631
150,5,بخشیم,0.0007534102535725851
151,5,نیکوتری,0.0007496469849048616
152,5,توبه,0.0007493154892614136
153,5,کم,0.0007480738425181527
154,5,غنوم,0.0007457751363410318
155,5,افگار,0.00074458353926044
156,5,پیچند,0.0007442728761179375
157,5,نوشروان,0.0007425593371843123
158,5,پرگار,0.000742061051195765
159,5,بدادست,0.0007401913106416173
160,5,هزل,0.0007400357683521121
161,5,ارغوانست,0.000739297577640811
162,5,اوفتی,0.0007373867873483209
163,5,بدرهٔ,0.0007365867351923272
164,5,حورانی,0.0007348030428032865
165,5,متواری,0.0007342301205185007
166,5,ورت,0.0007336302937887184
167,5,گویی,0.0007297259869820011
168,5,مرا,0.0007255531636517343
169,5,خوردار,0.0007255382821761665
170,5,کده‌ها,0.0007252050999992425
171,5,خویش,0.0007226767272829208
172,5,تمشیت,0.0007210515090544215
173,5,عزل,0.0007204777409070785
174,5,حقد,0.000717488540719819
175,5,جاودانهٔ,0.0007159885029911247
176,5,گذاریم,0.0007132523227629478
177,5,سین,0.0007120869260033574
178,5,ماواستی,0.0007086571940097253
179,5,زنگیانند,0.0007084993090611839
180,5,رایت,0.0007036297394615488
181,5,جلمهٔ,0.0007031949604011144
182,5,پوینده,0.0007015084765793205
183,5,ملحدی,0.000700461994970356
184,5,بمانده‌ای,0.0006949719231103374
185,5,شفات,0.0006919430520890635
186,5,چلیپاهای,0.0006915101399200794
187,5,زنارپرست,0.0006911492542925364
188,5,کشیدی,0.0006898602103876656
189,5,زرنگت,0.000688320668435732
190,5,دستهای,0.0006872840515195763
191,5,کرد,0.0006834009384691795
192,5,عشقت,0.0006818695610535876
193,5,بستایم,0.0006805533500395915
194,5,بیخت,0.0006804588538716368
195,5,دارندهٔ,0.0006775996100977123
196,5,تباهست,0.0006723281831591685
197,5,قارون,0.000668359561828297
198,5,نافرید,0.0006670758083076936
199,5,دیدگان,0.0006662222363164341
200,5,پس,0.0006654148063959611
201,5,دردناکست,0.0006646038166472605
202,5,مهرویا,0.0006621541379545637
203,5,سدی,0.0006620958136545489
204,5,نوانم,0.0006610004057245546
205,5,رخانت,0.0006592221193835026
206,5,یوم‌الحشر,0.0006582705143062771
207,5,باشد,0.0006579722793642048
208,5,اسماعیل,0.0006569290363121773
209,5,ثریاش,0.0006544471992065103
210,5,روییست,0.0006544309875520252
211,5,باد,0.0006528760193531877
212,5,کمابیش,0.0006500114722544632
213,5,خاصست,0.0006499966142480611
214,5,فاسد,0.000649776368903401
215,5,بابهشت,0.0006497557234099692
216,5,آتشپاره‌ای,0.0006489071647011692
217,5,بازل,0.0006480498838788182
218,5,گوش,0.0006475741915278571
219,5,سوسن,0.0006475265723996906
220,5,اشاراتی,0.0006452714445950919
221,5,ای,0.0006443533131123475
222,5,بکتاش,0.0006441052382626503
223,5,بمخار,0.0006401717641536654
224,5,استعانت,0.0006379606640665259
225,5,«هل,0.0006376738703205714
226,5,پیداش,0.0006374241483188732
227,5,آریم,0.0006367340782782973
228,5,اسپردن,0.0006365914677284363
229,5,بروزد,0.0006328791237404112
230,5,جایزی,0.0006318611419236475
231,5,بیزار,0.0006313417336026397
232,5,قوز,0.0006293487566575734
233,5,بیت‌النار,0.0006277690972454317
234,5,گل,0.0006207247789469524
235,5,نمانی,0.0006204397562695102
236,5,کردگارت,0.0006184065239483491
237,5,زنیست,0.0006167099418942793
238,5,برافراخته,0.000616231847713136
239,5,بیگه,0.0006158486491428005
240,5,او,0.000614674156234723
241,5,شهرها,0.000614595706295936
242,5,نپوشیدست,0.0006143793266589269
243,5,کوی,0.0006138761816650649
244,5,باژگونه,0.0006135192560075177
245,5,داور,0.0006114764019196933
246,5,ایدر,0.0006093692141041838
247,5,روز,0.0006069955610825523
248,5,دی,0.0006067108583538111
249,5,فلانم,0.0006051315835895145
250,5,هرانکو,0.0006046441657452668
251,5,خاستمش,0.0006039205754845754
252,5,کبر,0.0006023373963416037
253,5,حاجات,0.0006019521072132035
254,5,یمن,0.0006016666345097104
255,5,رادی,0.0006014927356369629
256,5,موذن,0.0005984265484111128
257,5,چندمان,0.0005978367860713943
258,5,جمشیدی,0.0005940905200293317
259,5,دانایی,0.0005937471777863172
260,5,آنگه,0.0005918229514564523
261,5,خرامد,0.0005906030336389348
262,5,مست,0.0005879359219511983
263,5,خندانم,0.0005845212454752617
264,5,قرایی,0.0005844639181446762
265,5,بفزای,0.0005835796762433737
266,5,بوسه,0.0005828455079880211
267,5,نه,0.0005822057022416428
268,5,چندیم,0.0005820991755543475
269,5,غمازان,0.0005783762913864694
270,5,جنانست,0.0005782304395933375
