,poet,feature,importance
0,12,تزلزل,0.004216989271627414
1,12,رشگ,0.003370310072740847
2,12,جرات,0.002954678816653577
3,12,پرزور,0.002525519081367655
4,12,جراتم,0.002477885537940569
5,12,سمل,0.0024215678818846156
6,12,سئوال,0.002254019029074971
7,12,اعراض,0.0019919445478657795
8,12,گستاخانه,0.001945186590766175
9,12,غلط,0.001697913219246964
10,12,سردوش,0.001592898565756142
11,12,بی‌زنجیر,0.0015650963917107142
12,12,باغیار,0.0015522229216860487
13,12,احتیاج,0.0015413398134198758
14,12,رعشه,0.0015390898301519032
15,12,غرفه‌های,0.0014621978103230352
16,12,ناز,0.0014329751730717802
17,12,همهٔ,0.0014222400102982444
18,12,صدخانه,0.0014202189000098466
19,12,لقبم,0.0014158011101264984
20,12,افتاب,0.0013696109027149666
21,12,بی‌ترس,0.0013652019950705033
22,12,کنندهٔ,0.0013221704834001178
23,12,آشنائی‌های,0.0012842848722628467
24,12,جمهور,0.0012399000664496964
25,12,اندامان,0.0012365022180125234
26,12,دگرانست,0.0012277643680922291
27,12,حظ,0.001221545540719465
28,12,طپان,0.0012098433245404285
29,12,چشم,0.0011862167824370875
30,12,دهشت,0.0011776877202737696
31,12,شتابان,0.0011724983947707
32,12,فراست,0.0011710055250659258
33,12,فصاد,0.001156439785483517
34,12,شیشهای,0.0011561419191442692
35,12,میسوختی,0.0011421591140622093
36,12,سگش,0.0011389110438398858
37,12,من,0.001131882258987634
38,12,بی‌تابی,0.0011316601908209916
39,12,ناقه‌اش,0.0011148908040809209
40,12,دیر,0.0011141541175339299
41,12,نیالوده,0.0011113264779084103
42,12,را,0.0011057455367238555
43,12,تو,0.0011035801309003774
44,12,سخنگوی,0.0011035406087699009
45,12,کارئی,0.0011022752652717217
46,12,بگشاید,0.0010982998463775057
47,12,حداد,0.0010957454923185082
48,12,زای,0.0010879951317506274
49,12,بی‌وصیت,0.0010812865337540803
50,12,مکنی,0.0010770022613604663
51,12,جهانستان,0.0010699049188402114
52,12,مدهید,0.0010691053617936407
53,12,همرهش,0.0010686404020996876
54,12,از,0.0010654430438093564
55,12,صریح,0.0010642407112539047
56,12,پرکار,0.0010625051704735065
57,12,تیز,0.0010616117745059707
58,12,و,0.0010535196752247213
59,12,سنگدلیهای,0.0010458786101135644
60,12,بی‌جواب,0.0010388739747952066
61,12,کزعمر,0.0010353624160320174
62,12,که,0.0010329689006691335
63,12,کانهم,0.001019668437143165
64,12,دروبام,0.0010121180187422003
65,12,عشوه‌اش,0.0009997637105132022
66,12,در,0.000984970516843142
67,12,آن,0.0009827274779929697
68,12,می‌جهاند,0.000981890467060655
69,12,رسوائی,0.000981456798431491
70,12,عشق‌باز,0.0009811506028894058
71,12,رتبهٔ,0.000981037875786132
72,12,بر,0.0009801450502034074
73,12,گرمتر,0.0009747394026905126
74,12,آزاردم,0.0009694510814184074
75,12,نشستنش,0.000969379389323765
76,12,نخل,0.0009692449286142313
77,12,صد,0.0009637161496815849
78,12,به,0.0009571346940442644
79,12,نوشخندی,0.0009550144517687306
80,12,زوردمند,0.0009546911005119657
81,12,قتل,0.0009521277572624239
82,12,کشتکان,0.0009426461360382872
83,12,آهست,0.0009366362162375328
84,12,سجه,0.0009326795504252407
85,12,خورسند,0.0009142564468101436
86,12,دستبازی,0.0009059106114489789
87,12,شکایتها,0.0009024785308379962
88,12,گشتم,0.0008995375882769836
89,12,تنه,0.0008940959509933258
90,12,قدرها,0.0008821685639091243
91,12,تمکینش,0.0008795036723981868
92,12,می‌فرمائی,0.0008778532898130051
93,12,بدآموزی,0.0008765369749195149
94,12,محفلها,0.0008736867026270314
95,12,حیف,0.0008722122351856522
96,12,خصمانه,0.0008625712994295056
97,12,است,0.0008598715702416721
98,12,پرسشت,0.0008576459556072089
99,12,بی‌زوال,0.0008552423334244806
100,12,نسبت,0.0008536593478853763
101,12,نامردمی,0.0008522568982500925
102,12,ناشاعران,0.0008486642949224065
103,12,بلندش,0.0008478370549155301
104,12,چو,0.0008454901926580204
105,12,خانه‌پرست,0.0008419577433203092
106,12,زا,0.000833247773518459
107,12,مخصوصان,0.000832683370637333
108,12,اندوهم,0.0008265747012779481
109,12,حسن,0.0008238949402514867
110,12,افسر,0.0008238824425102604
111,12,نیم‌سوز,0.0008218619800957129
112,12,مژده,0.000817101878120174
113,12,گاهی,0.0008108277050729297
114,12,معصومی,0.0008091528017420877
115,12,یادباد,0.0008080545705918019
116,12,پندست,0.0008024462147120588
117,12,کردو,0.000797818687163456
118,12,برآزار,0.0007942107844453103
119,12,سمندی,0.0007899957353320721
120,12,گمانهای,0.0007866245460068104
121,12,سوار,0.0007861892462901664
122,12,نزدیک,0.000782704691432475
123,12,دلدوزی,0.0007797418536650983
124,12,آخرین,0.0007778506742318425
125,12,اندام,0.0007776121530596178
126,12,مایلی,0.0007763873249733501
127,12,کمان,0.0007757571196199859
128,12,سگت,0.0007754867581963458
129,12,نارواست,0.0007741836429187903
130,12,تاسف,0.0007740585050179674
131,12,تیغ,0.0007711618573162985
132,12,مقدار,0.000769616962524819
133,12,همراهیت,0.0007685332433519477
134,12,مقبلان,0.000764243172323309
135,12,میهنی,0.0007634456854406252
136,12,دل,0.00076342186545565
137,12,ساخته,0.0007617677604868465
138,12,زلف,0.000760593256180181
139,12,یکتائی,0.0007603457654136464
140,12,ولن,0.0007547057153518438
141,12,خودر,0.0007537243611576701
142,12,او,0.0007488828744463005
143,12,شعف,0.0007482698339515843
144,12,دامنست,0.0007466445969781401
145,12,بی‌قید,0.0007463855333571312
146,12,کافتم,0.0007462148013924569
147,12,ورزدیار,0.0007433655104940103
148,12,سرزانوی,0.0007404077277540157
149,12,یکقدم,0.0007395881321606416
150,12,الفتت,0.0007393234134252227
151,12,افروختنی,0.0007392682525857017
152,12,همواره,0.0007370319028271745
153,12,نگاهست,0.0007369348165290543
154,12,می‌داردم,0.000734195969957528
155,12,گدایانهٔ,0.0007296052404539857
156,12,مظطرب,0.000727899456547584
157,12,نوعتهد,0.0007265836532908255
158,12,بنی‌آدم,0.0007258889634357142
159,12,خوئی,0.0007232268767500909
160,12,سرکشیت,0.000722034532739564
161,12,نمی‌رود,0.000719049108459587
162,12,می‌میرم,0.0007182523061127009
163,12,نمی‌گشود,0.0007150689521811611
164,12,اثنای,0.0007130672501567545
165,12,رقیب,0.0007127557704237509
166,12,دردیوار,0.000710148311502935
167,12,مخصوصند,0.0007088315542683718
168,12,خانهٔ,0.0007084167783813614
169,12,همتای,0.000708021353678808
170,12,بود,0.0007075220110863401
171,12,نمی‌بستم,0.0007061250875462208
172,12,می‌سازیم,0.000705828810592362
173,12,پسندیدم,0.0007058265652517396
174,12,رقعه‌نویسی,0.00069819767696541
175,12,لشگر,0.0006976090743259189
176,12,نشاء,0.0006963685684944348
177,12,می‌افکنم,0.0006960725344250531
178,12,می‌روم,0.0006959458055639828
179,12,کلکت,0.0006942111025770924
180,12,بی‌چیزی,0.0006927946039342049
181,12,سمک,0.0006927304993526951
182,12,نگاه,0.000691537993936684
183,12,نگشاد,0.0006895969082124306
184,12,محمی,0.0006860258069191569
185,12,گمانش,0.0006847182961978702
186,12,گردم,0.0006820726674811769
187,12,بادپا,0.0006799661360142099
188,12,تواضعهای,0.0006783955694486547
189,12,چاکتری,0.000677626499758075
190,12,فریفتهٔ,0.0006757824056887195
191,12,غرفهٔ,0.0006742772720514256
192,12,مژه‌کار,0.0006736986338381903
193,12,چرنده,0.0006736654981903773
194,12,شهسواران,0.0006734134338757793
195,12,دروبال,0.0006731721202294118
196,12,چون,0.0006728880466429269
197,12,ممنوع,0.0006716944293181921
198,12,سرموئی,0.0006716454805565787
199,12,پویت,0.0006684532905032349
200,12,تواکنون,0.000666798240144659
201,12,مطمئن,0.0006650918538418421
202,12,راهنوز,0.0006609335220011527
203,12,یکدمی,0.000660764044473269
204,12,ای,0.0006593048956573965
205,12,دایمم,0.0006587491913956464
206,12,تافتد,0.0006585285567341017
207,12,صیدوار,0.0006546786551256505
208,12,مکش,0.0006542628024014039
209,12,جابری,0.0006537873762026175
210,12,با,0.0006522633736412793
211,12,خصوصیت,0.0006510117299178275
212,12,آوازه‌ای,0.0006498600781676737
213,12,دمایند,0.000648828603184052
214,12,میدارد,0.0006472480551738414
215,12,نهفته,0.0006460600052192427
216,12,غم‌مخور,0.0006457989435792094
217,12,منهم,0.0006447692142524692
218,12,هالهٔ,0.0006445070271231405
219,12,الایش,0.000643900444617781
220,12,قبول,0.0006421433378013477
221,12,زداغی,0.0006413565832617188
222,12,گرمیش,0.000639586404205437
223,12,بی‌تقاضا,0.0006371847418106487
224,12,ناکهان,0.0006366847706731413
225,12,نکشته‌ام,0.0006354764497192611
226,12,دلجوئی,0.0006345545075029002
227,12,بی‌لنگری,0.0006333567961302804
228,12,زند,0.0006311834648928538
229,12,مددیها,0.0006310370098889278
230,12,پر,0.0006294099974859951
231,12,آیم,0.0006267162674249334
232,12,عشوه‌ساز,0.0006261139711038518
233,12,میسوزمش,0.0006256406415860957
234,12,ازبار,0.000624774229653079
235,12,افتادم,0.0006247408253386457
236,12,دغدغهٔ,0.000623297122292245
237,12,طپانچه,0.0006224355107363958
238,12,دورانداخت,0.0006221710123440289
239,12,غیب‌افرین,0.0006218562065144874
240,12,گر,0.000619948342095033
241,12,لطفهای,0.0006199165677086183
242,12,سردهد,0.0006166549909708215
243,12,بی‌باکی,0.0006159770949307132
244,12,عنوان,0.0006143048013517156
245,12,کرده‌های,0.0006130063285430826
246,12,برنامد,0.0006126245147435555
247,12,غضب‌آمیز,0.0006124814174751783
248,12,دادخواهان,0.0006118887862922968
249,12,صدامید,0.0006116117823642231
250,12,محتشم‌پوشان,0.0006109994116033101
251,12,پاس,0.000610506239353127
252,12,درپات,0.0006090817766754589
253,12,دستیازی,0.0006080186443198583
254,12,صلهٔ,0.0006065610026926763
255,12,برکس,0.0006062360761230074
256,12,مرحمتش,0.0006061077614612037
257,12,صیاد,0.0006057309731868097
258,12,بدمهری,0.0006041923054288556
259,12,دلداریت,0.0006033885006684655
260,12,خلعت,0.0006032137889648348
261,12,دستیها,0.0005995471092231368
262,12,برسان,0.0005963444902085356
263,12,قلعهٔ,0.0005960873137283882
264,12,کنایه,0.0005960387450977336
265,12,نامدت,0.0005953193923459985
266,12,بستنش,0.0005950552416451602
267,12,ما,0.0005941845775131422
268,12,گزاست,0.0005935722731504191
269,12,چکند,0.0005924501162580248
270,12,پرخطری,0.0005914143194786911
271,12,جامروز,0.0005907341932785426
272,12,ایست,0.0005901798101343545
273,12,مدفنم,0.0005900524491447598
274,12,نمی‌ماند,0.0005892314777879021
275,12,سرخاکم,0.0005884344457190991
276,12,نگونم,0.0005883928550037721
277,12,گلگونست,0.0005877563595529982
278,12,اگز,0.0005871813301656701
279,12,بلبلا،,0.000587155528659129
280,12,ناشادی,0.0005835487499712062
281,12,بی‌غیرتی,0.0005823110678061691
282,12,نهالت,0.0005818099143507221
283,12,فهمیدی,0.0005805750848893748
284,12,جنبانی,0.0005802536105653445
285,12,بی‌طالعی,0.000579263805549998
286,12,هاتقی,0.0005785413951148815
287,12,اشگی,0.0005775255996574889
288,12,زاطوار,0.0005758337543636858
289,12,بفتاب,0.0005754468107965237
290,12,فرماست,0.0005753398828159419
291,12,بدرآ,0.0005751792158796611
292,12,آتش‌بار,0.000574766444129748
293,12,مانع,0.0005736938427534291
294,12,سربلبل,0.0005730525421781946
295,12,می‌رویم,0.0005728390510545546
296,12,قتلم,0.0005722101391675781
297,12,رموز,0.0005721170088930581
298,12,بادبانی,0.0005719481378511026
299,12,میفتاد,0.0005716298122799642
300,12,تفقدهای,0.0005705631859383581
301,12,غالیهٔ,0.0005701802405758744
302,12,ذبیح,0.0005696892735197527
303,12,سرآورده‌ام,0.0005660273123346816
304,12,کاتشم,0.0005652077012482821
305,12,گردانیت,0.0005650864213557794
306,12,حرکتهای,0.000564820761219991
307,12,بی‌غیرت,0.0005646710252052375
308,12,ناآشنا,0.000564248938195548
309,12,تکبرش,0.0005641549000111562
310,12,پویندگان,0.0005640386525109922
311,12,بلابرون,0.0005635163489422762
312,12,جمعست,0.000563408967146161
313,12,پنهان,0.0005631971361463968
314,12,چه,0.0005612727413276502
315,12,قصاب,0.0005600151991942608
316,12,بگوشه,0.0005573138378992246
317,12,بلبیک,0.0005548708380268253
318,12,بکش,0.000554121667007677
319,12,مه‌روئی,0.0005539746068449576
320,12,عهدی,0.0005533522177577848
321,12,بلا,0.0005518396392599731
322,12,می‌نوازی,0.0005506268441164515
323,12,سرلشگر,0.0005495795370103353
324,12,شوخم,0.0005482043220973312
325,12,انخم,0.0005481975038613636
326,12,می‌فشردم,0.0005481030870972231
327,12,زلال‌وش,0.0005480111957505902
328,12,آب,0.0005475655698203683
329,12,سهیل‌آسا,0.0005473400297484476
330,12,بارجان,0.00054603991625121
331,12,محتشمش,0.0005452527464699713
332,12,مخزنست,0.0005442044703068973
333,12,شد,0.0005439342587305078
334,12,می‌گریزد,0.0005433793379732803
335,12,رنجانید,0.0005393351875413577
